report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,year,month,month_name,day,day_of_week,occurrence_hour,time_period,reporting_delay_days,age_group,case_resolution_days
19607,2022-03-29 15:00:00,2022-03-27 22:00:00,28-03-2022 17:45,Mumbai,364,IDENTITY THEFT,14,M,Knife,Violent Crime,16,No,,2022,3,March,27,Sunday,17,Evening,1.7083333333333333,Minor,
19608,2022-03-29 04:00:00,2022-03-27 23:00:00,28-03-2022 16:55,Bhopal,514,PUBLIC INTOXICATION,14,M,Poison,Other Crime,9,Yes,2022-04-19 04:00:00,2022,3,March,27,Sunday,16,Afternoon,1.2083333333333333,Minor,22.208333333333332
19609,2022-03-29 15:00:00,2022-03-28 00:00:00,28-03-2022 02:59,Ahmedabad,143,BURGLARY,70,F,Poison,Other Crime,4,Yes,2022-09-15 15:00:00,2022,3,March,28,Monday,2,Night,1.625,Senior,171.625
19610,2022-03-29 03:00:00,2022-03-28 01:00:00,28-03-2022 11:44,Ahmedabad,530,ROBBERY,41,M,Other,Violent Crime,3,Yes,2022-06-07 03:00:00,2022,3,March,28,Monday,11,Morning,1.0833333333333333,Adult,71.08333333333333
19611,2022-03-29 16:00:00,2022-03-28 02:00:00,28-03-2022 03:29,Delhi,456,ARSON,58,X,Firearm,Fire Accident,2,Yes,2022-06-22 16:00:00,2022,3,March,28,Monday,3,Night,1.5833333333333333,Senior,86.58333333333333
19612,2022-03-29 10:00:00,2022-03-28 03:00:00,28-03-2022 11:52,Jaipur,367,ILLEGAL POSSESSION,71,X,Firearm,Other Crime,17,No,,2022,3,March,28,Monday,11,Morning,1.2916666666666667,Senior,
19613,2022-03-30 17:00:00,2022-03-28 04:00:00,28-03-2022 22:15,Delhi,326,KIDNAPPING,11,F,Other,Other Crime,7,No,,2022,3,March,28,Monday,22,Night,2.5416666666666665,Minor,
19614,2022-03-29 12:00:00,2022-03-28 05:00:00,28-03-2022 07:15,Mumbai,111,CYBERCRIME,78,M,Explosives,Other Crime,11,Yes,2022-04-19 12:00:00,2022,3,March,28,Monday,7,Morning,1.2916666666666667,Senior,22.291666666666668
19615,2022-03-31 05:00:00,2022-03-28 06:00:00,28-03-2022 09:39,Patna,375,ILLEGAL POSSESSION,51,X,Explosives,Other Crime,11,No,,2022,3,March,28,Monday,9,Morning,2.9583333333333335,Senior,
19616,2022-03-28 18:00:00,2022-03-28 07:00:00,28-03-2022 19:20,Hyderabad,167,VEHICLE - STOLEN,11,M,Explosives,Violent Crime,7,No,,2022,3,March,28,Monday,19,Evening,0.4583333333333333,Minor,
19617,2022-03-28 10:00:00,2022-03-28 08:00:00,28-03-2022 22:12,Delhi,188,DOMESTIC VIOLENCE,36,M,Poison,Violent Crime,4,No,,2022,3,March,28,Monday,22,Night,0.08333333333333333,Adult,
19618,2022-03-29 07:00:00,2022-03-28 09:00:00,28-03-2022 21:36,Mumbai,173,BURGLARY,59,F,Blunt Object,Other Crime,18,No,,2022,3,March,28,Monday,21,Night,0.9166666666666666,Senior,
19619,2022-03-28 21:00:00,2022-03-28 10:00:00,29-03-2022 00:06,Lucknow,442,ARSON,36,M,Knife,Fire Accident,10,Yes,2022-04-21 21:00:00,2022,3,March,28,Monday,0,Night,0.4583333333333333,Adult,24.458333333333332
19620,2022-03-30 00:00:00,2022-03-28 11:00:00,29-03-2022 08:57,Surat,432,ROBBERY,68,X,Poison,Violent Crime,1,No,,2022,3,March,28,Monday,8,Morning,1.5416666666666667,Senior,
19621,2022-03-31 06:00:00,2022-03-28 12:00:00,28-03-2022 20:48,Bangalore,573,HOMICIDE,13,X,Poison,Other Crime,8,Yes,2023-11-20 06:00:00,2022,3,March,28,Monday,20,Evening,2.75,Minor,601.75
19622,2022-03-31 02:00:00,2022-03-28 13:00:00,28-03-2022 16:30,Hyderabad,501,KIDNAPPING,60,M,Poison,Other Crime,14,Yes,2022-06-16 02:00:00,2022,3,March,28,Monday,16,Afternoon,2.5416666666666665,Senior,79.54166666666667
19623,2022-03-30 12:00:00,2022-03-28 14:00:00,29-03-2022 07:23,Kolkata,197,ROBBERY,51,F,Explosives,Violent Crime,8,Yes,2022-09-25 12:00:00,2022,3,March,28,Monday,7,Morning,1.9166666666666667,Senior,180.91666666666666
19624,2022-03-29 12:00:00,2022-03-28 15:00:00,29-03-2022 12:54,Kanpur,127,HOMICIDE,25,F,Blunt Object,Other Crime,6,No,,2022,3,March,28,Monday,12,Afternoon,0.875,Young Adult,
19625,2022-03-29 18:00:00,2022-03-28 16:00:00,29-03-2022 07:45,Delhi,210,ARSON,72,X,Knife,Fire Accident,14,Yes,2022-05-28 18:00:00,2022,3,March,28,Monday,7,Morning,1.0833333333333333,Senior,61.083333333333336
19626,2022-03-30 06:00:00,2022-03-28 17:00:00,29-03-2022 12:09,Delhi,496,SHOPLIFTING,19,F,Firearm,Other Crime,2,Yes,2022-05-01 06:00:00,2022,3,March,28,Monday,12,Afternoon,1.5416666666666667,Young Adult,33.541666666666664
19627,2022-03-28 20:00:00,2022-03-28 18:00:00,28-03-2022 20:18,Mumbai,306,DOMESTIC VIOLENCE,44,M,Explosives,Violent Crime,15,Yes,2022-04-05 20:00:00,2022,3,March,28,Monday,20,Evening,0.08333333333333333,Adult,8.083333333333334
19628,2022-03-30 22:00:00,2022-03-28 19:00:00,29-03-2022 00:11,Hyderabad,468,DRUG OFFENSE,30,M,Explosives,Other Crime,6,Yes,2022-05-15 22:00:00,2022,3,March,28,Monday,0,Night,2.125,Young Adult,48.125
19629,2022-03-31 09:00:00,2022-03-28 20:00:00,29-03-2022 10:35,Pune,411,FRAUD,13,M,Poison,Other Crime,4,Yes,2022-05-17 09:00:00,2022,3,March,28,Monday,10,Morning,2.5416666666666665,Minor,49.541666666666664
19630,2022-03-29 21:00:00,2022-03-28 21:00:00,29-03-2022 16:53,Surat,529,DRUG OFFENSE,20,M,Other,Other Crime,17,No,,2022,3,March,28,Monday,16,Afternoon,1.0,Young Adult,
19631,2022-03-30 17:00:00,2022-03-28 22:00:00,29-03-2022 17:00,Bangalore,477,ILLEGAL POSSESSION,22,M,Firearm,Other Crime,19,Yes,2022-06-20 17:00:00,2022,3,March,28,Monday,17,Evening,1.7916666666666667,Young Adult,83.79166666666667
19632,2022-03-30 15:00:00,2022-03-28 23:00:00,29-03-2022 20:03,Bangalore,517,HOMICIDE,67,M,Firearm,Other Crime,8,Yes,2023-03-28 15:00:00,2022,3,March,28,Monday,20,Evening,1.6666666666666667,Senior,364.6666666666667
19633,2022-03-31 10:00:00,2022-03-29 00:00:00,29-03-2022 10:05,Surat,310,ASSAULT,76,X,Blunt Object,Violent Crime,4,No,,2022,3,March,29,Tuesday,10,Morning,2.4166666666666665,Senior,
19634,2022-03-31 23:00:00,2022-03-29 01:00:00,29-03-2022 01:17,Lucknow,431,PUBLIC INTOXICATION,59,F,Firearm,Other Crime,11,No,,2022,3,March,29,Tuesday,1,Night,2.9166666666666665,Senior,
19635,2022-03-31 09:00:00,2022-03-29 02:00:00,29-03-2022 19:30,Bhopal,433,DOMESTIC VIOLENCE,33,X,Unknown,Violent Crime,19,Yes,2022-06-24 09:00:00,2022,3,March,29,Tuesday,19,Evening,2.2916666666666665,Adult,87.29166666666667
19636,2022-03-31 23:00:00,2022-03-29 03:00:00,29-03-2022 11:27,Delhi,313,CYBERCRIME,16,M,Knife,Other Crime,6,No,,2022,3,March,29,Tuesday,11,Morning,2.8333333333333335,Minor,
19637,2022-03-31 21:00:00,2022-03-29 04:00:00,30-03-2022 03:46,Mumbai,165,VANDALISM,40,X,Poison,Other Crime,10,Yes,2022-05-14 21:00:00,2022,3,March,29,Tuesday,3,Night,2.7083333333333335,Adult,46.708333333333336
19638,2022-03-31 10:00:00,2022-03-29 05:00:00,29-03-2022 21:27,Jaipur,324,VEHICLE - STOLEN,74,F,Knife,Violent Crime,6,Yes,2022-06-18 10:00:00,2022,3,March,29,Tuesday,21,Night,2.2083333333333335,Senior,81.20833333333333
19639,2022-03-30 09:00:00,2022-03-29 06:00:00,29-03-2022 21:57,Delhi,189,SHOPLIFTING,47,X,Knife,Other Crime,5,No,,2022,3,March,29,Tuesday,21,Night,1.125,Adult,
19640,2022-03-31 10:00:00,2022-03-29 07:00:00,29-03-2022 12:34,Bangalore,394,PUBLIC INTOXICATION,30,M,Firearm,Other Crime,1,No,,2022,3,March,29,Tuesday,12,Afternoon,2.125,Young Adult,
19641,2022-03-31 05:00:00,2022-03-29 08:00:00,29-03-2022 11:56,Delhi,150,FRAUD,76,F,Explosives,Other Crime,8,No,,2022,3,March,29,Tuesday,11,Morning,1.875,Senior,
19642,2022-03-30 09:00:00,2022-03-29 09:00:00,29-03-2022 09:35,Kolkata,592,PUBLIC INTOXICATION,66,M,Poison,Other Crime,11,No,,2022,3,March,29,Tuesday,9,Morning,1.0,Senior,
19643,2022-03-29 21:00:00,2022-03-29 10:00:00,29-03-2022 17:15,Jaipur,488,DOMESTIC VIOLENCE,50,X,Knife,Violent Crime,3,Yes,2022-04-28 21:00:00,2022,3,March,29,Tuesday,17,Evening,0.4583333333333333,Adult,30.458333333333332
19644,2022-03-30 18:00:00,2022-03-29 11:00:00,30-03-2022 10:46,Hyderabad,495,VANDALISM,55,F,Poison,Other Crime,11,No,,2022,3,March,29,Tuesday,10,Morning,1.2916666666666667,Senior,
19645,2022-03-31 19:00:00,2022-03-29 12:00:00,30-03-2022 04:09,Srinagar,156,ILLEGAL POSSESSION,70,F,Poison,Other Crime,19,No,,2022,3,March,29,Tuesday,4,Night,2.2916666666666665,Senior,
19646,2022-03-30 03:00:00,2022-03-29 13:00:00,30-03-2022 07:11,Ahmedabad,205,COUNTERFEITING,65,F,Poison,Other Crime,11,No,,2022,3,March,29,Tuesday,7,Morning,0.5833333333333334,Senior,
19647,2022-03-31 14:00:00,2022-03-29 14:00:00,30-03-2022 05:04,Bangalore,407,DRUG OFFENSE,55,F,Knife,Other Crime,2,Yes,2022-04-17 14:00:00,2022,3,March,29,Tuesday,5,Night,2.0,Senior,19.0
19648,2022-03-31 03:00:00,2022-03-29 15:00:00,30-03-2022 07:58,Chennai,177,EXTORTION,48,F,Firearm,Other Crime,18,No,,2022,3,March,29,Tuesday,7,Morning,1.5,Adult,
19649,2022-04-01 14:00:00,2022-03-29 16:00:00,30-03-2022 13:36,Bangalore,561,SHOPLIFTING,46,X,Blunt Object,Other Crime,19,Yes,2022-04-10 14:00:00,2022,3,March,29,Tuesday,13,Afternoon,2.9166666666666665,Adult,11.916666666666666
19650,2022-03-31 11:00:00,2022-03-29 17:00:00,30-03-2022 07:52,Hyderabad,155,DRUG OFFENSE,50,F,Poison,Other Crime,19,No,,2022,3,March,29,Tuesday,7,Morning,1.75,Adult,
19651,2022-03-31 23:00:00,2022-03-29 18:00:00,30-03-2022 03:01,Hyderabad,554,TRAFFIC VIOLATION,47,M,Firearm,Traffic Fatality,17,No,,2022,3,March,29,Tuesday,3,Night,2.2083333333333335,Adult,
19652,2022-03-30 11:00:00,2022-03-29 19:00:00,30-03-2022 15:57,Mumbai,363,DRUG OFFENSE,35,X,Firearm,Other Crime,2,No,,2022,3,March,29,Tuesday,15,Afternoon,0.6666666666666666,Adult,
19653,2022-04-01 00:00:00,2022-03-29 20:00:00,30-03-2022 18:41,Delhi,243,ARSON,51,M,Unknown,Fire Accident,14,Yes,2022-05-21 00:00:00,2022,3,March,29,Tuesday,18,Evening,2.1666666666666665,Senior,52.166666666666664
19654,2022-03-30 13:00:00,2022-03-29 21:00:00,30-03-2022 15:01,Chennai,194,ARSON,79,M,Poison,Fire Accident,7,No,,2022,3,March,29,Tuesday,15,Afternoon,0.6666666666666666,Senior,
19655,2022-03-30 23:00:00,2022-03-29 22:00:00,30-03-2022 02:01,Delhi,210,SEXUAL ASSAULT,25,M,Unknown,Violent Crime,11,No,,2022,3,March,29,Tuesday,2,Night,1.0416666666666667,Young Adult,
19656,2022-03-30 11:00:00,2022-03-29 23:00:00,30-03-2022 07:15,Lucknow,252,PUBLIC INTOXICATION,65,F,Other,Other Crime,14,Yes,2022-04-25 11:00:00,2022,3,March,29,Tuesday,7,Morning,0.5,Senior,26.5
19657,2022-04-01 08:00:00,2022-03-30 00:00:00,30-03-2022 23:38,Mumbai,407,TRAFFIC VIOLATION,71,X,Unknown,Traffic Fatality,10,Yes,2022-04-24 08:00:00,2022,3,March,30,Wednesday,23,Night,2.3333333333333335,Senior,25.333333333333332
19658,2022-03-31 20:00:00,2022-03-30 01:00:00,30-03-2022 13:01,Indore,300,VEHICLE - STOLEN,11,M,Unknown,Violent Crime,15,No,,2022,3,March,30,Wednesday,13,Afternoon,1.7916666666666667,Minor,
19659,2022-04-01 12:00:00,2022-03-30 02:00:00,30-03-2022 11:17,Bhopal,236,CYBERCRIME,25,F,Knife,Other Crime,11,No,,2022,3,March,30,Wednesday,11,Morning,2.4166666666666665,Young Adult,
19660,2022-04-01 16:00:00,2022-03-30 03:00:00,30-03-2022 15:08,Pune,273,KIDNAPPING,18,X,Blunt Object,Other Crime,6,No,,2022,3,March,30,Wednesday,15,Afternoon,2.5416666666666665,Young Adult,
19661,2022-03-30 14:00:00,2022-03-30 04:00:00,30-03-2022 04:45,Hyderabad,466,ROBBERY,21,M,Explosives,Violent Crime,14,No,,2022,3,March,30,Wednesday,4,Night,0.4166666666666667,Young Adult,
19662,2022-04-01 10:00:00,2022-03-30 05:00:00,30-03-2022 08:09,Delhi,270,SHOPLIFTING,48,M,Other,Other Crime,10,No,,2022,3,March,30,Wednesday,8,Morning,2.2083333333333335,Adult,
19663,2022-03-30 23:00:00,2022-03-30 06:00:00,30-03-2022 18:36,Hyderabad,363,ARSON,78,X,Firearm,Fire Accident,18,No,,2022,3,March,30,Wednesday,18,Evening,0.7083333333333334,Senior,
19664,2022-03-30 12:00:00,2022-03-30 07:00:00,30-03-2022 21:47,Thane,266,KIDNAPPING,74,X,Other,Other Crime,15,No,,2022,3,March,30,Wednesday,21,Night,0.20833333333333334,Senior,
19665,2022-03-30 14:00:00,2022-03-30 08:00:00,31-03-2022 05:38,Ahmedabad,451,ROBBERY,68,F,Explosives,Violent Crime,10,Yes,2022-07-21 14:00:00,2022,3,March,30,Wednesday,5,Night,0.25,Senior,113.25
19666,2022-04-01 05:00:00,2022-03-30 09:00:00,30-03-2022 15:48,Delhi,342,TRAFFIC VIOLATION,72,X,Unknown,Traffic Fatality,11,No,,2022,3,March,30,Wednesday,15,Afternoon,1.8333333333333333,Senior,
19667,2022-03-31 11:00:00,2022-03-30 10:00:00,31-03-2022 02:12,Lucknow,389,ASSAULT,35,X,Poison,Violent Crime,1,No,,2022,3,March,30,Wednesday,2,Night,1.0416666666666667,Adult,
19668,2022-03-30 15:00:00,2022-03-30 11:00:00,31-03-2022 02:37,Mumbai,418,SHOPLIFTING,27,M,Blunt Object,Other Crime,8,No,,2022,3,March,30,Wednesday,2,Night,0.16666666666666666,Young Adult,
19669,2022-03-31 00:00:00,2022-03-30 12:00:00,31-03-2022 00:58,Kolkata,101,ILLEGAL POSSESSION,75,F,Unknown,Other Crime,10,No,,2022,3,March,30,Wednesday,0,Night,0.5,Senior,
19670,2022-03-31 01:00:00,2022-03-30 13:00:00,31-03-2022 07:17,Mumbai,519,IDENTITY THEFT,64,X,Poison,Violent Crime,14,Yes,2022-05-15 01:00:00,2022,3,March,30,Wednesday,7,Morning,0.5,Senior,45.5
19671,2022-03-31 21:00:00,2022-03-30 14:00:00,30-03-2022 17:55,Lucknow,151,VANDALISM,25,M,Explosives,Other Crime,2,No,,2022,3,March,30,Wednesday,17,Evening,1.2916666666666667,Young Adult,
19672,2022-04-01 18:00:00,2022-03-30 15:00:00,30-03-2022 21:08,Hyderabad,116,EXTORTION,72,M,Knife,Other Crime,18,Yes,2022-04-23 18:00:00,2022,3,March,30,Wednesday,21,Night,2.125,Senior,24.125
19673,2022-03-31 20:00:00,2022-03-30 16:00:00,31-03-2022 13:54,Mumbai,303,DRUG OFFENSE,31,M,Firearm,Other Crime,14,Yes,2022-05-09 20:00:00,2022,3,March,30,Wednesday,13,Afternoon,1.1666666666666667,Adult,40.166666666666664
19674,2022-03-31 18:00:00,2022-03-30 17:00:00,31-03-2022 15:54,Faridabad,320,SEXUAL ASSAULT,14,F,Explosives,Violent Crime,5,Yes,2023-11-27 18:00:00,2022,3,March,30,Wednesday,15,Afternoon,1.0416666666666667,Minor,607.0416666666666
19675,2022-03-31 08:00:00,2022-03-30 18:00:00,31-03-2022 02:16,Delhi,551,CYBERCRIME,76,F,Other,Other Crime,7,No,,2022,3,March,30,Wednesday,2,Night,0.5833333333333334,Senior,
19676,2022-04-02 06:00:00,2022-03-30 19:00:00,30-03-2022 19:09,Chennai,229,HOMICIDE,35,M,Blunt Object,Other Crime,2,No,,2022,3,March,30,Wednesday,19,Evening,2.4583333333333335,Adult,
19677,2022-03-30 21:00:00,2022-03-30 20:00:00,31-03-2022 03:57,Pune,438,COUNTERFEITING,64,M,Unknown,Other Crime,2,No,,2022,3,March,30,Wednesday,3,Night,0.041666666666666664,Senior,
19678,2022-04-01 10:00:00,2022-03-30 21:00:00,31-03-2022 06:32,Lucknow,323,TRAFFIC VIOLATION,64,F,Knife,Traffic Fatality,12,No,,2022,3,March,30,Wednesday,6,Morning,1.5416666666666667,Senior,
19679,2022-04-01 00:00:00,2022-03-30 22:00:00,31-03-2022 05:08,Faridabad,411,DOMESTIC VIOLENCE,32,X,Unknown,Violent Crime,13,Yes,2022-06-16 00:00:00,2022,3,March,30,Wednesday,5,Night,1.0833333333333333,Adult,77.08333333333333
19680,2022-03-31 11:00:00,2022-03-30 23:00:00,31-03-2022 21:00,Mumbai,299,VANDALISM,41,M,Unknown,Other Crime,16,Yes,2022-06-17 11:00:00,2022,3,March,30,Wednesday,21,Night,0.5,Adult,78.5
19681,2022-04-01 17:00:00,2022-03-31 00:00:00,31-03-2022 22:17,Mumbai,550,TRAFFIC VIOLATION,76,M,Firearm,Traffic Fatality,6,Yes,2022-04-09 17:00:00,2022,3,March,31,Thursday,22,Night,1.7083333333333333,Senior,9.708333333333334
19682,2022-04-02 15:00:00,2022-03-31 01:00:00,31-03-2022 01:30,Surat,385,CYBERCRIME,21,X,Unknown,Other Crime,15,Yes,2022-06-09 15:00:00,2022,3,March,31,Thursday,1,Night,2.5833333333333335,Young Adult,70.58333333333333
19683,2022-03-31 08:00:00,2022-03-31 02:00:00,31-03-2022 23:40,Mumbai,523,SHOPLIFTING,63,M,Explosives,Other Crime,8,Yes,2022-04-20 08:00:00,2022,3,March,31,Thursday,23,Night,0.25,Senior,20.25
19684,2022-03-31 23:00:00,2022-03-31 03:00:00,31-03-2022 10:36,Ahmedabad,327,SHOPLIFTING,17,M,Blunt Object,Other Crime,12,No,,2022,3,March,31,Thursday,10,Morning,0.8333333333333334,Minor,
19685,2022-03-31 21:00:00,2022-03-31 04:00:00,31-03-2022 15:14,Bangalore,559,BURGLARY,66,F,Firearm,Other Crime,3,Yes,2022-07-30 21:00:00,2022,3,March,31,Thursday,15,Afternoon,0.7083333333333334,Senior,121.70833333333333
19686,2022-04-01 21:00:00,2022-03-31 05:00:00,31-03-2022 18:24,Ahmedabad,209,EXTORTION,44,F,Firearm,Other Crime,4,Yes,2022-04-18 21:00:00,2022,3,March,31,Thursday,18,Evening,1.6666666666666667,Adult,18.666666666666668
19687,2022-04-02 13:00:00,2022-03-31 06:00:00,31-03-2022 16:52,Bangalore,362,HOMICIDE,20,M,Blunt Object,Other Crime,17,Yes,2022-11-01 13:00:00,2022,3,March,31,Thursday,16,Afternoon,2.2916666666666665,Young Adult,215.29166666666666
19688,2022-03-31 16:00:00,2022-03-31 07:00:00,31-03-2022 09:21,Nagpur,345,EXTORTION,71,F,Knife,Other Crime,6,Yes,2022-05-28 16:00:00,2022,3,March,31,Thursday,9,Morning,0.375,Senior,58.375
19689,2022-04-01 16:00:00,2022-03-31 08:00:00,01-04-2022 03:11,Delhi,447,FRAUD,15,X,Firearm,Other Crime,4,No,,2022,3,March,31,Thursday,3,Night,1.3333333333333333,Minor,
19690,2022-04-01 09:00:00,2022-03-31 09:00:00,01-04-2022 08:46,Hyderabad,160,FRAUD,39,X,Firearm,Other Crime,18,No,,2022,3,March,31,Thursday,8,Morning,1.0,Adult,
19691,2022-04-03 07:00:00,2022-03-31 10:00:00,01-04-2022 08:46,Hyderabad,138,DOMESTIC VIOLENCE,64,M,Explosives,Violent Crime,13,No,,2022,3,March,31,Thursday,8,Morning,2.875,Senior,
19692,2022-04-03 04:00:00,2022-03-31 11:00:00,01-04-2022 04:18,Kolkata,471,ASSAULT,61,X,Knife,Violent Crime,13,No,,2022,3,March,31,Thursday,4,Night,2.7083333333333335,Senior,
19693,2022-04-01 20:00:00,2022-03-31 12:00:00,31-03-2022 14:39,Kanpur,268,CYBERCRIME,55,M,Firearm,Other Crime,6,No,,2022,3,March,31,Thursday,14,Afternoon,1.3333333333333333,Senior,
19694,2022-04-01 15:00:00,2022-03-31 13:00:00,01-04-2022 05:53,Bangalore,414,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,6,Yes,2023-04-15 15:00:00,2022,3,March,31,Thursday,5,Night,1.0833333333333333,Minor,380.0833333333333
19695,2022-04-02 18:00:00,2022-03-31 14:00:00,01-04-2022 06:46,Agra,168,VANDALISM,65,F,Poison,Other Crime,4,Yes,2022-04-23 18:00:00,2022,3,March,31,Thursday,6,Morning,2.1666666666666665,Senior,23.166666666666668
19696,2022-04-02 12:00:00,2022-03-31 15:00:00,31-03-2022 23:53,Mumbai,242,SHOPLIFTING,75,M,Explosives,Other Crime,10,No,,2022,3,March,31,Thursday,23,Night,1.875,Senior,
19697,2022-04-02 15:00:00,2022-03-31 16:00:00,01-04-2022 12:35,Bangalore,307,HOMICIDE,11,X,Unknown,Other Crime,16,Yes,2023-07-13 15:00:00,2022,3,March,31,Thursday,12,Afternoon,1.9583333333333333,Minor,468.9583333333333
19698,2022-04-01 14:00:00,2022-03-31 17:00:00,01-04-2022 16:20,Ahmedabad,534,ARSON,47,X,Unknown,Fire Accident,11,Yes,2022-06-24 14:00:00,2022,3,March,31,Thursday,16,Afternoon,0.875,Adult,84.875
19699,2022-04-02 18:00:00,2022-03-31 18:00:00,31-03-2022 19:35,Pune,541,VEHICLE - STOLEN,79,X,Other,Violent Crime,7,Yes,2022-06-17 18:00:00,2022,3,March,31,Thursday,19,Evening,2.0,Senior,78.0
19700,2022-04-01 04:00:00,2022-03-31 19:00:00,01-04-2022 00:04,Pune,338,PUBLIC INTOXICATION,68,F,Other,Other Crime,8,No,,2022,3,March,31,Thursday,0,Night,0.375,Senior,
19701,2022-04-02 15:00:00,2022-03-31 20:00:00,01-04-2022 15:11,Hyderabad,403,DOMESTIC VIOLENCE,21,X,Firearm,Violent Crime,16,No,,2022,3,March,31,Thursday,15,Afternoon,1.7916666666666667,Young Adult,
19702,2022-04-03 20:00:00,2022-03-31 21:00:00,01-04-2022 19:25,Kolkata,542,SHOPLIFTING,54,X,Unknown,Other Crime,17,Yes,2022-06-14 20:00:00,2022,3,March,31,Thursday,19,Evening,2.9583333333333335,Senior,74.95833333333333
19703,2022-04-01 19:00:00,2022-03-31 22:00:00,01-04-2022 01:58,Pune,221,SEXUAL ASSAULT,71,X,Poison,Violent Crime,5,No,,2022,3,March,31,Thursday,1,Night,0.875,Senior,
19704,2022-04-01 10:00:00,2022-03-31 23:00:00,01-04-2022 06:26,Hyderabad,268,ROBBERY,20,F,Poison,Violent Crime,9,Yes,2022-05-02 10:00:00,2022,3,March,31,Thursday,6,Morning,0.4583333333333333,Young Adult,31.458333333333332
19705,2022-04-02 19:00:00,2022-01-04 00:00:00,01-04-2022 14:40,Delhi,225,VANDALISM,34,M,Firearm,Other Crime,13,Yes,2022-05-17 19:00:00,2022,1,January,4,Tuesday,14,Afternoon,88.79166666666667,Adult,133.79166666666666
19706,2022-04-01 11:00:00,2022-01-04 01:00:00,01-04-2022 03:14,Chennai,239,HOMICIDE,60,F,Poison,Other Crime,18,No,,2022,1,January,4,Tuesday,3,Night,87.41666666666667,Senior,
19707,2022-04-03 22:00:00,2022-01-04 02:00:00,01-04-2022 05:49,Bangalore,338,SEXUAL ASSAULT,36,X,Firearm,Violent Crime,4,No,,2022,1,January,4,Tuesday,5,Night,89.83333333333333,Adult,
19708,2022-04-01 11:00:00,2022-01-04 03:00:00,01-04-2022 03:56,Nagpur,146,HOMICIDE,74,F,Knife,Other Crime,6,No,,2022,1,January,4,Tuesday,3,Night,87.33333333333333,Senior,
19709,2022-04-01 14:00:00,2022-01-04 04:00:00,01-04-2022 12:07,Bangalore,183,CYBERCRIME,79,X,Knife,Other Crime,14,Yes,2022-06-18 14:00:00,2022,1,January,4,Tuesday,12,Afternoon,87.41666666666667,Senior,165.41666666666666
19710,2022-04-03 12:00:00,2022-01-04 05:00:00,01-04-2022 14:01,Kolkata,143,ARSON,78,F,Poison,Fire Accident,13,No,,2022,1,January,4,Tuesday,14,Afternoon,89.29166666666667,Senior,
19711,2022-04-01 15:00:00,2022-01-04 06:00:00,01-04-2022 23:39,Bangalore,288,EXTORTION,54,F,Unknown,Other Crime,9,No,,2022,1,January,4,Tuesday,23,Night,87.375,Senior,
19712,2022-04-03 14:00:00,2022-01-04 07:00:00,02-04-2022 02:48,Indore,203,IDENTITY THEFT,56,F,Other,Violent Crime,6,No,,2022,1,January,4,Tuesday,2,Night,89.29166666666667,Senior,
19713,2022-04-01 18:00:00,2022-01-04 08:00:00,01-04-2022 12:58,Hyderabad,209,EXTORTION,77,X,Knife,Other Crime,1,Yes,2022-04-08 18:00:00,2022,1,January,4,Tuesday,12,Afternoon,87.41666666666667,Senior,94.41666666666667
19714,2022-04-01 18:00:00,2022-01-04 09:00:00,02-04-2022 05:08,Delhi,532,TRAFFIC VIOLATION,23,F,Unknown,Traffic Fatality,16,Yes,2022-04-15 18:00:00,2022,1,January,4,Tuesday,5,Night,87.375,Young Adult,101.375
19715,2022-04-01 22:00:00,2022-01-04 10:00:00,01-04-2022 20:42,Chennai,167,BURGLARY,12,F,Firearm,Other Crime,4,Yes,2022-06-15 22:00:00,2022,1,January,4,Tuesday,20,Evening,87.5,Minor,162.5
19716,2022-04-02 05:00:00,2022-01-04 11:00:00,02-04-2022 03:14,Kanpur,308,DRUG OFFENSE,31,M,Other,Other Crime,1,No,,2022,1,January,4,Tuesday,3,Night,87.75,Adult,
19717,2022-04-03 15:00:00,2022-01-04 12:00:00,01-04-2022 15:10,Bangalore,486,PUBLIC INTOXICATION,72,X,Explosives,Other Crime,16,No,,2022,1,January,4,Tuesday,15,Afternoon,89.125,Senior,
19718,2022-04-02 02:00:00,2022-01-04 13:00:00,01-04-2022 16:29,Mumbai,446,SEXUAL ASSAULT,76,X,Firearm,Violent Crime,17,No,,2022,1,January,4,Tuesday,16,Afternoon,87.54166666666667,Senior,
19719,2022-04-02 03:00:00,2022-01-04 14:00:00,01-04-2022 22:44,Kalyan,396,VEHICLE - STOLEN,71,M,Poison,Violent Crime,7,No,,2022,1,January,4,Tuesday,22,Night,87.54166666666667,Senior,
19720,2022-04-02 01:00:00,2022-01-04 15:00:00,02-04-2022 01:29,Kanpur,483,PUBLIC INTOXICATION,72,X,Unknown,Other Crime,13,No,,2022,1,January,4,Tuesday,1,Night,87.41666666666667,Senior,
19721,2022-04-02 02:00:00,2022-01-04 16:00:00,01-04-2022 17:29,Mumbai,376,BURGLARY,59,F,Knife,Other Crime,19,No,,2022,1,January,4,Tuesday,17,Evening,87.41666666666667,Senior,
